ParticipantName,ParticipantCountry,R1Composer,R1Piece,R1PCString,R2Composer,R2Piece,R2PCString,R3Composer,R3Piece,R3PCString,Placement,Year
Andrei Korobeinikov,Russia,Pyotr Tchaikovsky,"February/Carnival from The Seasons Op.37,2","Pyotr Tchaikovsky. February/Carnival from The Seasons Op.37,2'",Johann S. Bach," Wilhelm Kempff. SiciliaNaNfrom Sonata 2 for flute,BWV 1031","Johann S. Bach – Wilhelm Kempff. Siciliana from Sonata 2 for flute,BWV 1031'",Sergei Prokofiev,"Piano Concerto 3 in C major, Op. 26","Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']",,2015
Andrei Korobeinikov,Russia,Sergei Rachmaninov,"Étude-tableau in F-sharp minor, Op. 39,3","Sergei Rachmaninov. Étude-tableau in F-sharp minor, Op. 39,3'",Dmitri Shostakovich,"Sonata 2, Op. 61","Dmitri Shostakovich. Sonata 2, Op. 61'",,,,,2015
Andrei Korobeinikov,Russia,Frédéric Chopin,"Étude in G-sharp minor, op. 25,6","Frédéric Chopin. Étude in G-sharp minor, op. 25,6'",Wolfgang A. Mozart,"Piano Concerto 20 in D minor, K. 466","Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', ",,,,,2015
Andrejs Osokins,Latvia,Ludwig van Beethoven,"Piano Sonata 32 in C minor, Op. 111","Ludwig van Beethoven. Piano Sonata 32 in C minor, Op. 111', ",Wolfgang A. Mozart,"Piano Concerto 12 in A major, K. 414","W.A. Mozart. Piano Concerto 12 in A major, K. 414', ",,,,,2015
Andrejs Osokins,Latvia,Frédéric Chopin,"Étude in A minor, Op. 10, 2","Frédéric Chopin. Étude in A minor, Op. 10, 2'",Sergei Prokofiev,"Piano Sonata 7 in B-flat major, Op. 83","Sergei Prokofiev. Piano Sonata 7 in B-flat major, Op. 83'",,,,,2015
Andrejs Osokins,Latvia,Franz Liszt,"Étude 2in E-flat major from the Grandes Études de Paganini, S.141","Franz Liszt. Étude 2in E-flat major from the Grandes Études de Paganini, S.141'",Richard Wagner-Franz Liszt,"Liebestod, S. 447","Richard Wagner-Franz Liszt. Liebestod, S. 447'",,,,,2015
Andrejs Osokins,Latvia,Pyotr Tchaikovsky,"Humoresque, Op. 10, 2; Romance, Op. 5","Pyotr Tchaikovsky. Humoresque, Op. 10, 2; Romance, Op. 5",Jean Sibelius,"Valse triste, Op. 44","Jean Sibelius. Valse triste, Op. 44'",Sergei Prokofiev,"Piano Concerto 3 in C major, Op. 26","Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']",,2015
Andrejs Osokins,Latvia,Johann S. Bach,"Prélude and Fugue in E-flat minor, Well-Tempered Clavier, Book 1,BWV 853, 8","J.S. Bach. Prélude and Fugue in E-flat minor, Well-Tempered Clavier, Book 1,BWV 853, 8",Joseph Haydn,"Piano Sonata in E minor, Hob. XVI/34","Joseph Haydn. Piano Sonata in E minor, Hob. XVI/34'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Andrejs Osokins,Latvia,Sergei Rachmaninov,"Étude-tableau in E-flat minor, Op. 33, 6","Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33, 6'",Maurice Ravel,"Gaspard de la nuit for piano: Ondine, Le gibet, Scarbo","Maurice Ravel. Gaspard de la nuit for piano: Ondine, Le gibet, Scarbo'",,,,,2015
Andrey Dubov,Russia,Johann S. Bach,"Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889'","Johann S. Bach. Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889'",Johann S. Bach," Ferruccio Busoni. Chaconne from the Partita No.2 for violin inD minor, BWV 1004","Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violin inD minor, BWV 1004'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Andrey Dubov,Russia,Frédéric Chopin,"Étude in B minor, op. 25,10","Frédéric Chopin. Étude in B minor, op. 25,10'",,,,,,,,2015
Andrey Dubov,Russia,Ludwig van Beethoven,"Sonata 23 in F minor (Appassionata), Op. 57","Ludwig van Beethoven. Sonata 23 in F minor (Appassionata), Op. 57'",Modest Mussorgsky,Pictures at an Exhibition,Modest Mussorgsky. Pictures at an Exhibition',Sergei Rachmaninov,"Piano Concerto 2 in C minor, Op. 18","Sergei Rachmaninov. Piano Concerto 2 in C minor, Op. 18]",,2015
Andrey Dubov,Russia,Franz Liszt,"Étude in F minor from Transcendental Études, S. 139,10","Franz Liszt. Étude in F minor from Transcendental Études, S. 139,10', ",,,,,,,,2015
Andrey Dubov,Russia,Sergei Rachmaninov,"Étude-tableau in F-sharp minor, Op. 39,3","Sergei Rachmaninov. Étude-tableau in F-sharp minor, Op. 39,3'",Wolfgang A. Mozart,"Piano Concerto 24 in C minor, K. 491","Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', ",,,,,2015
Andrey Dubov,Russia,Pyotr Tchaikovsky,"Méditation, Op. 72,5","Pyotr Tchaikovsky. Méditation, Op. 72,5",Igor Stravinsky,"Three Movements from Petrushka: Dance Russe, Chez Petrushka,La Semaine grasse","Igor Stravinsky. Three Movements from Petrushka: Dance Russe, Chez Petrushka,La Semaine grasse'",,,,,2015
Andrey Gugnin,Russia,Frédéric Chopin,"Étude in B minor, op. 25,10","Frédéric Chopin. Étude in B minor, op. 25,10', ",,,,,,,,2015
Andrey Gugnin,Russia,Sergei Rachmaninov,"Étude-tableau in C major, Op. 33,2","Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2'",Wolfgang A. Mozart,"Piano Concerto 9 in E-flat major, K. 271","Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', ",,,,,2015
Andrey Gugnin,Russia,Pyotr Tchaikovsky,"Nocturne and Humoresque, Op. 10","Pyotr Tchaikovsky. Nocturne and Humoresque, Op. 10'",Sergei Prokofiev,"Sonata 7 in B-flat major, Op. 83","Sergei Prokofev. Sonata 7 in B-flat major, Op. 83'",,,,,2015
