ParticipantName,ParticipantCountry,R1Composer,R1Piece,R1PCString,R2Composer,R2Piece,R2PCString,R3Composer,R3Piece,R3PCString,Placement,Year
Dmitry Masleev,Russia,Ludwig van Beethoven,"Sonata 26 in E-flat major (The Farewell), Op. 81","Ludwig van Beethoven. Sonata 26 in E-flat major (The Farewell), Op. 81a'",Camille Saint-Saëns – Franz Liszt,Danse macabre (arr. by Vladimir Horowitz),Camille Saint-Saëns – Franz Liszt. Danse macabre (arr. by Vladimir Horowitz)',Sergei Prokofiev,"Piano Concerto 3 in C major, Op. 26","Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']",1.0,2015
Dmitry Onishchenko,Russia,Sergei Rachmaninov,"Étude-tableau in E-flat minor, Op. 39,5","Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5",,,,,,,,2015
Dmitry Onishchenko,Russia,Pyotr Tchaikovsky,"December: Christmas from The Seasons Op.37,12","Pyotr Tchaikovsky. December: Christmas from The Seasons Op.37,12', ",,,,,,,,2015
Dmitry Onishchenko,Russia,Wolfgang A,"Mozart. Sonata 8 in A minor, K. 310","Wolfgang A. Mozart. Sonata 8 in A minor, K. 310'",Johannes Brahms,"Variations on a Theme of Paganini, Op. 35","Johannes Brahms. Variations on a Theme of Paganini, Op. 35",Sergei Rachmaninov,"Piano Concerto 3 in D minor, Op. 30","Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']",,2015
Dmitry Onishchenko,Russia,Johann S. Bach,"Prélude and Fugue in C-sharp minor, Well-Tempered Clavier,Book 2, BWV 873","Johann S. Bach. Prélude and Fugue in C-sharp minor, Well-Tempered Clavier,Book 2, BWV 873'",Johann S. Bach," Ferruccio Busoni. Chaconne from the Partita No.2 for violinin D minor, BWV 1004","Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violinin D minor, BWV 1004'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Dmitry Onishchenko,Russia,Franz Liszt,"Chasse-Neige from Transcendental Études, S. 139,12","Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12'",Wolfgang A. Mozart,"Piano Concerto 9 in E-flat major, K. 271","Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', ",,,,,2015
Dmitry Onishchenko,Russia,Frédéric Chopin,"Étude in A minor, Op. 25,11","Frédéric Chopin. Étude in A minor, Op. 25,11'",Sergei Rachmaninov,"Six moments musicaux, Op. 16","Sergei Rachmaninov. Six moments musicaux, Op. 16'",,,,,2015
Dmitry Shishkin,Russia,Wolfgang A,"Mozart. Sonata 11 in A major, K. 331","Wolfgang A. Mozart. Sonata 11 in A major, K. 331'",Sergei Prokofiev,"4 Études, Op. 2","Sergei Prokofiev. 4 Études, Op. 2'",Sergei Rachmaninov,"Piano Concerto 3 in D minor, Op. 30","Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']",,2015
Dmitry Shishkin,Russia,Pyotr Tchaikovsky,"Russian Scherzo, Op. 1,1; June: Barcarolle from The Seasons Op. 37,6","Pyotr Tchaikovsky. Russian Scherzo, Op. 1,1; June: Barcarolle from The Seasons Op. 37,6'",Domenico Scarlatti,"Sonatas: in E major, K. 380; in D minor, L. 366; in F-sharp major,K. 319; and F minor, K. 466","Domenico Scarlatti. Sonatas: in E major, K. 380; in D minor, L. 366; in F-sharp major,K. 319; and F minor, K. 466'",,,,,2015
Dmitry Shishkin,Russia,Sergei Rachmaninov,"Étude-tableau in D major, Op. 39,9","Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', ",,,,,,,,2015
Dmitry Shishkin,Russia,Franz Liszt,"Étude La Campanella in G-sharp minor from Grandes Études dePaganini, S. 141,3","Franz Liszt. Étude La Campanella in G-sharp minor from Grandes Études dePaganini, S. 141,3'",Wolfgang A. Mozart,"Piano Concerto 21 in A major, K. 488","Wolfgang A. Mozart. Piano Concerto 21 in A major, K. 488, ",,,,,2015
Dmitry Shishkin,Russia,Johann S. Bach,"Prélude and Fugue in G major, Well-Tempered Clavier, Book 1, BWV 860","Johann S. Bach. Prélude and Fugue in G major, Well-Tempered Clavier, Book 1, BWV 860'",Johann S. Bach," Ferruccio Busoni. Chaconne from the Partita No.2 for violin in Dminor, BWV 1004","Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violin in Dminor, BWV 1004'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Dmitry Shishkin,Russia,Frédéric Chopin,"Étude in A minor, Op. 10,2","Frédéric Chopin. Étude in A minor, Op. 10,2'",Franz Liszt,"Mephisto Waltz 1 in A major, S. 514","Franz Liszt. Mephisto Waltz 1 in A major, S. 514'",,,,,2015
Emanuel Rimoldi,Italy,Frédéric Chopin,"Étude in B minor, op. 25,10","Frédéric Chopin. Étude in B minor, op. 25,10'",Wolfgang A. Mozart,"Piano Concerto 21 in C major, K. 467","Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', ",,,,,2015
Emanuel Rimoldi,Italy,Pyotr Tchaikovsky,"Theme and Variations in F major, Op. 19,6","Pyotr Tchaikovsky. Theme and Variations in F major, Op. 19,6'",Sergei Prokofiev,"Piano Concerto 3 in C minor, Op. 29","Sergei Prokofiev. Piano Concerto 3 in C minor, Op. 29'",,,,,2015
Emanuel Rimoldi,Italy,Wolfgang A,"Mozart. Sonata 8 in A minor, K. 310","Wolfgang A. Mozart. Sonata 8 in A minor, K. 310'",Robert Schumann,"Humoreske, Op. 20","Robert Schumann. Humoreske, Op. 20'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23']",,2015
Emanuel Rimoldi,Italy,Johann S. Bach,"Prélude and Fugue in B-flat minor, Well-Tempered Clavier, Book1, BWV 867","Johann S. Bach. Prélude and Fugue in B-flat minor, Well-Tempered Clavier, Book1, BWV 867'",'Alexander Scriabin,"Fantasie in B minor, Op. 28","Alexander Scriabin. Fantasie in B minor, Op. 28",'Johannes Brahms,"Piano Concerto 1 in D minor, Op. 15","Johannes Brahms. Piano Concerto 1 in D minor, Op. 15",,2015
Emanuel Rimoldi,Italy,Franz Liszt,"Chasse-Neige from Transcendental Études, S. 139,12","Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', ",,,,,,,,2015
Emanuel Rimoldi,Italy,Sergei Rachmaninov,"Étude-tableau in A minor, Op. 39,6","Sergei Rachmaninov. Étude-tableau in A minor, Op. 39,6'",,,,,,,,2015
George Li,USA,Franz Liszt,"Étude La Campanella in G-sharp minor from Grandes Études de Paganini, S. 141,3","Franz Liszt. Étude La Campanella in G-sharp minor from Grandes Études de Paganini, S. 141,3', ",,,,,,,2.0,2015
George Li,USA,Pyotr Tchaikovsky,"Theme and Variations in F major, Op. 19,6","Pyotr Tchaikovsky. Theme and Variations in F major, Op. 19,6'",Pyotr Tchaikovsky,"Méditation, Op. 72,5; Valse de salon, Op. 51,1","Pyotr Tchaikovsky. Méditation, Op. 72,5; Valse de salon, Op. 51,1'",,,,2.0,2015
George Li,USA,Ludwig van Beethoven,"Sonata 32 in C minor, Op. 111","Ludwig van Beethoven. Sonata 32 in C minor, Op. 111'",Franz Liszt,"Hungarian Rhapsody No.2 in C-sharp minor, S. 244 (cadenza bySergei Rachmaninov)","Franz Liszt. Hungarian Rhapsody No.2 in C-sharp minor, S. 244 (cadenza bySergei Rachmaninov)'",Sergei Prokofiev,"Piano Concerto 3 in C major, Op. 26","Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']",2.0,2015
George Li,USA,Johann S. Bach,"Prélude and Fugue in G minor, Well-Tempered Clavier, Book 2,BWV 885","Johann S. Bach. Prélude and Fugue in G minor, Well-Tempered Clavier, Book 2,BWV 885",Sergei Rachmaninov,"Variations on a Theme of Corelli, Op. 42","Sergei Rachmaninov. Variations on a Theme of Corelli, Op. 42'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",2.0,2015
George Li,USA,Frédéric Chopin,"Étude in A minor, Op. 10,2","Frédéric Chopin. Étude in A minor, Op. 10,2'",Frédéric Chopin,"Variations L√† ci darem la mano from Mozart's opera DonGiovanni, in B flat major Op. 2 (Jan Ekier edition)","Frédéric Chopin. Variations L√† ci darem la mano from Mozart's opera DonGiovanni, in B flat major Op. 2 (Jan Ekier edition)'",,,,2.0,2015
George Li,USA,Sergei Rachmaninov,"Étude-tableau in E-flat minor, Op. 33,6","Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33,6'",Wolfgang A. Mozart,"Piano Concerto 23 in A major, K. 488","Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488, ",,,,2.0,2015
Georgy Voilochnikov,Russia,Ludwig van Beethoven,"Sonata 31 in A-flat major, Op. 110","Ludwig van Beethoven. Sonata 31 in A-flat major, Op. 110'",Frédéric Chopin,"Barcarolle in F-sharp major, Op. 60","Frédéric Chopin. Barcarolle in F-sharp major, Op. 60'",Béla Bartók,"Piano Concerto 3 in E major, BB 127 (Sz. 119)","Béla Bartók. Piano Concerto 3 in E major, BB 127 (Sz. 119)']",,2015
Georgy Voilochnikov,Russia,Johann S. Bach,"Prélude and Fugue in E major, Well-Tempered Clavier, Book 2,BWV 878,'","Johann S. Bach. Prélude and Fugue in E major, Well-Tempered Clavier, Book 2,BWV 878,'",Robert Schumann,"Humoreske in B-flat major, Op. 20","Robert Schumann. Humoreske in B-flat major, Op. 20'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Georgy Voilochnikov,Russia,Sergei Rachmaninov,"Étude-tableau in E-flat minor, Op. 39,5","Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5, ",,,,,,,,2015
Georgy Voilochnikov,Russia,Frédéric Chopin,"Étude in E minor, op. 25,5","Frédéric Chopin. Étude in E minor, op. 25,5",,,,,,,,2015
Georgy Voilochnikov,Russia,Pyotr Tchaikovsky,"May: White Nights and August: Harvest from The SeasonsOp.37,5 and 8","Pyotr Tchaikovsky. May: White Nights and August: Harvest from The SeasonsOp.37,5 and 8",Alexander Scriabin,"Sonata 3 in F-sharp minor, Op. 23","Alexander Scriabin. Sonata 3 in F-sharp minor, Op. 23'",,,,,2015
Georgy Voilochnikov,Russia,Franz Liszt,"Concert Étude in D-flat major, S. 144,3","Franz Liszt. Concert Étude in D-flat major, S. 144,3'",Wolfgang A. Mozart,"Piano Concerto 24 in C minor, K. 491","Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', ",,,,,2015
Ilya Rashkovsky,Russia,Pyotr Tchaikovsky,"April: Snowdrop from The Seasons Op.37,4","Pyotr Tchaikovsky. April: Snowdrop from The Seasons Op.37,4'",,,,,,,,2015
Ilya Rashkovsky,Russia,Franz Liszt,"Chasse-Neige from Transcendental Études, S. 139,12","Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12'",Wolfgang A. Mozart,"Piano Concerto 27 in B-flat major, K. 595","Wolfgang A. Mozart. Piano Concerto 27 in B-flat major, K. 595, ",,,,,2015
Ilya Rashkovsky,Russia,Sergei Rachmaninov,"Étude-tableau in C major, Op. 33,2","Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2'",Alexander Scriabin,"Sonata 5 in F-sharp major, Op. 53","Alexander Scriabin. Sonata 5 in F-sharp major, Op. 53'",,,,,2015
Ilya Rashkovsky,Russia,Ludwig van Beethoven,"Sonata 32 in C minor, Op. 111","Ludwig van Beethoven. Sonata 32 in C minor, Op. 111'",Alexander Scriabin,"Sonata 10, Op. 70","Alexander Scriabin. Sonata 10, Op. 70'",Sergei Prokofiev,"Piano Concerto 2 in G minor, Op. 16","Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']",,2015
Ilya Rashkovsky,Russia,Johann S. Bach,"Prélude and Fugue in E-flat minor, Well-Tempered Clavier, Book1, BWV 853","Johann S. Bach. Prélude and Fugue in E-flat minor, Well-Tempered Clavier, Book1, BWV 853'",'Robert Schumann,"Phantasie in C major, Op. 17","'Robert Schumann. Phantasie in C major, Op. 17'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Ilya Rashkovsky,Russia,Frédéric Chopin,"Étude in C minor, op. 25,12","Frédéric Chopin. Étude in C minor, op. 25,12', ",,,,,,,,2015
Jeung Beum Sohn,South Korea,Johann S. Bach,"Prélude and Fugue in D minor, Well-Tempered Clavier, Book 2,BWV 875","Johann S. Bach. Prélude and Fugue in D minor, Well-Tempered Clavier, Book 2,BWV 875",Frédéric Chopin,"Études, Op. 25,1-12","Frédéric Chopin. Études, Op. 25,1-12'",Johannes Brahms,"Piano Concerto 1 in D minor, Op. 15","Johannes Brahms. Piano Concerto 1 in D minor, Op. 15]",,2015
Jeung Beum Sohn,South Korea,Franz Liszt,"Étude in A minor from Transcendental Études, S. 139,2","Franz Liszt. Étude in A minor from Transcendental Études, S. 139,2'",Wolfgang A. Mozart,"Piano Concerto 23 in A major, K. 488","Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488, ",,,,,2015
Jeung Beum Sohn,South Korea,Sergei Rachmaninov,"Étude-tableau in C minor, Op. 39,1","Sergei Rachmaninov. Étude-tableau in C minor, Op. 39,1'",,,,,,,,2015
Jeung Beum Sohn,South Korea,Ludwig van Beethoven,"Sonata 23 in F minor, Op. 57","Ludwig van Beethoven. Sonata 23 in F minor, Op. 57', ",,,,,,,,2015
Jeung Beum Sohn,South Korea,Pyotr Tchaikovsky,"Dumka, Op. 59'","Pyotr Tchaikovsky. Dumka, Op. 59'",Wolfgang A. Mozart,"Fantasia in D minor, K. 397","Wolfgang A. Mozart. Fantasia in D minor, K. 397'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Jeung Beum Sohn,South Korea,Frédéric Chopin,"Étude in C major, Op. 10,1","Frédéric Chopin. Étude in C major, Op. 10,1'",Sergei Prokofiev,"Sonata 7 in B-flat major, Op. 83","Sergei Prokofiev. Sonata 7 in B-flat major, Op. 83'",,,,,2015
Jiayan Sun,China,Ludwig van Beethoven,"Sonata 32 in C minor, Op. 111","Ludwig van Beethoven. Sonata 32 in C minor, Op. 111', ",,,,,,,,2015
Jiayan Sun,China,Frédéric Chopin,"Étude in A major, Op. 25,11","Frédéric Chopin. Étude in A major, Op. 25,11'","n F minor and F major, Op","32, Nos. 6,7; in E-flat major, Op. 23,9;in G-sharp minor, Op. 32,12","n F minor and F major, Op. 32, Nos. 6,7; in E-flat major, Op. 23,9;in G-sharp minor, Op. 32,12'",Franz Liszt,"Piano Concerto No.1 in G minor, Op. 16","Franz Liszt. Piano Concerto No.1 in G minor, Op. 16']",,2015
Jiayan Sun,China,Franz Liszt,"Chasse-Neige from Transcendental Études, S. 139,12","Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12'",Franz Liszt,"Sonata in B minor, S. 178","Franz Liszt. Sonata in B minor, S. 178",,,,,2015
Jiayan Sun,China,Sergei Rachmaninov,"Étude-tableau in D minor, Op. 39,8","Sergei Rachmaninov. Étude-tableau in D minor, Op. 39,8",Béla Bartók,"Out of Doors suite for piano, BB 89","Béla Bartók. Out of Doors suite for piano, BB 89'",,,,,2015
Jiayan Sun,China,Pyotr Tchaikovsky,"Valse a cinq temps and Méditation, Op. 72, Nos. 16 and 5","Pyotr Tchaikovsky. Valse a cinq temps and Méditation, Op. 72, Nos. 16 and 5",Wolfgang A. Mozart,"Piano Concerto 20 in D minor, K. 466","Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', ",,,,,2015
Jiayan Sun,China,Johann S. Bach,"Prélude and Fugue in E major, Well-Tempered Clavier, Book 2,BWV 878","Johann S. Bach. Prélude and Fugue in E major, Well-Tempered Clavier, Book 2,BWV 878",Sergei Rachmaninov,"Six Préludes: in C major, Op. 32,1; in D major, Op. 23,4;","Sergei Rachmaninov. Six Préludes: in C major, Op. 32,1; in D major, Op. 23,4;'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Julia Kociuban,Poland,Frédéric Chopin,"Étude in A minor, Op. 25, 11","Frédéric Chopin. Étude in A minor, Op. 25, 11'",,,,,,,,2015
Julia Kociuban,Poland,Sergei Rachmaninov,"Étude-tableau in C minor, Op. 39, 1","Sergei Rachmaninov. Étude-tableau in C minor, Op. 39, 1', ",,,,,,,,2015
Julia Kociuban,Poland,Johann S. Bach,"Prélude and Fugue in A minor, The Well-Tempered Clavier,Book 2, BWV 889, 20","Johann S. Bach. Prélude and Fugue in A minor, The Well-Tempered Clavier,Book 2, BWV 889, 20'",Grażyna Bacewicz,Piano Sonata 2,Grażyna Bacewicz. Piano Sonata 2',Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Julia Kociuban,Poland,Pyotr Tchaikovsky,"Méditation, Op. 72, Nos. 5","Pyotr Tchaikovsky. Méditation, Op. 72, Nos. 5",Sergei Prokofiev,"Piano Sonata 7 in B-flat major, Op. 83","Sergei Prokofiev. Piano Sonata 7 in B-flat major, Op. 83'",,,,,2015
Julia Kociuban,Poland,Frédéric Chopin,"Ballade 1 in G minor, Op. 23","Frédéric Chopin. Ballade 1 in G minor, Op. 23'",Wolfgang A. Mozart,"Piano Concerto 23 in A major, K. 488","Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488, ",,,,,2015
Julia Kociuban,Poland,Ludwig van Beethoven,"Piano Sonata 13 in E-flat major(Sonata quasi una fantasia), Op. 27, 1","Ludwig van Beethoven. Piano Sonata 13 in E-flat major(Sonata quasi una fantasia), Op. 27, 1'",Frédéric Chopin,"Piano Sonata 3 in B minor, Op. 58","Frédéric Chopin. Piano Sonata 3 in B minor, Op. 58",Frédéric Chopin,"Piano Concerto 2 in F minor, Op.21","Frédéric Chopin. Piano Concerto 2 in F minor, Op.21']",,2015
Julia Kociuban,Poland,Franz Liszt,"Étude in A minor from the Grandes étudesde Paganini, S. 141, 6","Franz Liszt. Étude in A minor from the Grandes étudesde Paganini, S. 141, 6'",,,,,,,,2015
Lucas Debargue,France,Johann S. Bach,"Prélude and Fugue in E-flat major, Well-Tempered Clavier, Book1, BWV 852","Johann S. Bach. Prélude and Fugue in E-flat major, Well-Tempered Clavier, Book1, BWV 852'",'Nikolai Medtner,"Sonata in F minor, Op. 5","Nikolai Medtner. Sonata in F minor, Op. 5",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Lucas Debargue,France,Pyotr Tchaikovsky,"Valse sentimentale, Op. 51,6","Pyotr Tchaikovsky. Valse sentimentale, Op. 51,6'",Wolfgang A. Mozart,"Piano Concerto 24 in C minor, K. 491","Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', ",,,,,2015
Lucas Debargue,France,Frédéric Chopin,"Étude in G-sharp minor, op. 25,6","Frédéric Chopin. Étude in G-sharp minor, op. 25,6'",,,,,,,,2015
Lucas Debargue,France,Sergei Rachmaninov,"Étude-tableau in E-flat minor, Op. 39,5","Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5, ",,,,,,,,2015
Lucas Debargue,France,Franz Liszt,"Étude in F minor from Transcendental Études, S. 139,10","Franz Liszt. Étude in F minor from Transcendental Études, S. 139,10'",,,,,,,,2015
Lucas Debargue,France,Ludwig van Beethoven,"Sonata 7 in D major, Op. 10,3","Ludwig van Beethoven. Sonata 7 in D major, Op. 10,3'",Maurice Ravel,Gaspard de la nuit,Maurice Ravel. Gaspard de la nuit',Franz Liszt,"Piano Concerto 2 in A major, S. 125","Franz Liszt. Piano Concerto 2 in A major, S. 125]",,2015
Lukas Geniusas,Russia ‚Äî Lithuania,Ludwig van Beethoven,"Sonata 3 in C major, Op. 2,3","Ludwig van Beethoven. Sonata 3 in C major, Op. 2,3'",Frédéric Chopin,"Études in E major, C-sharp minor, G-flat major, and E-flat minor,Op. 10,3-6","Frédéric Chopin. Études in E major, C-sharp minor, G-flat major, and E-flat minor,Op. 10,3-6'",Sergei Rachmaninov,"Piano Concerto 3 in D minor, Op. 30","Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']",2.0,2015
Lukas Geniusas,Russia ‚Äî Lithuania,Franz Liszt,"Étude Wilde Jagd from Transcendental Études, S. 139,8","Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139,8, ",,,,,,,2.0,2015
Lukas Geniusas,Russia ‚Äî Lithuania,Frédéric Chopin,"Étude in A minor, Op. 10,2","Frédéric Chopin. Étude in A minor, Op. 10,2'",Wolfgang A. Mozart,"Piano Concerto 20 in D minor, K. 466","Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', ",,,,2.0,2015
Lukas Geniusas,Russia ‚Äî Lithuania,Sergei Rachmaninov,"Étude-tableau in C major, Op. 33,2","Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2'",,,,,,,2.0,2015
Lukas Geniusas,Russia ‚Äî Lithuania,Johann S. Bach,"Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889'","Johann S. Bach. Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889'",Johannes Brahms,"Sonata 1 in C major, Op. 1","Johannes Brahms. Sonata 1 in C major, Op. 1'",Pyotr Tchaikovsky,"Piano Concerto 2 in G major, Op. 44","'Pyotr Tchaikovsky. Piano Concerto 2 in G major, Op. 44'",2.0,2015
Lukas Geniusas,Russia ‚Äî Lithuania,Pyotr Tchaikovsky,"Romance in F minor, Op. 5; Scherzo Humoresque, Op.19,2","Pyotr Tchaikovsky. Romance in F minor, Op. 5; Scherzo Humoresque, Op.19,2'",Sergei Prokofiev,"Sonata 7 in B-flat major, Op. 83","Sergei Prokofiev. Sonata 7 in B-flat major, Op. 83'",,,,2.0,2015
Maria Mazo,Germany,Franz Liszt,"Étude 2 in E-flat major from Grandes Études de Paganini, S.141","Franz Liszt. Étude 2 in E-flat major from Grandes Études de Paganini, S.141'",Wolfgang A. Mozart,"Piano Concerto 21 in C major, K. 467","Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', ",,,,,2015
Maria Mazo,Germany,Pyotr Tchaikovsky,"Dumka, Op. 59","Pyotr Tchaikovsky. Dumka, Op. 59', ",,,,,,,,2015
Maria Mazo,Germany,Johann S. Bach,"Prélude and Fugue in G-sharp minor, Well-Tempered Clavier,Book 1, BWV 863","Johann S. Bach. Prélude and Fugue in G-sharp minor, Well-Tempered Clavier,Book 1, BWV 863'",Alexander Scriabin,"Sonata 4 in F-sharp major, Op. 30","Alexander Scriabin. Sonata 4 in F-sharp major, Op. 30'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Maria Mazo,Germany,Frédéric Chopin,"Étude in C minor, Op. 10,12","Frédéric Chopin. Étude in C minor, Op. 10,12'",Ludwig van Beethoven,"Sonata 29 in B-flat major (Hammerklavier), Op. 106","Ludwig van Beethoven. Sonata 29 in B-flat major (Hammerklavier), Op. 106'",,,,,2015
Maria Mazo,Germany,Sergei Rachmaninov,"Étude-tableau in E-flat minor, Op. 33,6","Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33,6'",,,,,,,,2015
Maria Mazo,Germany,Ludwig van Beethoven,"Sonata 23 in F minor, Op. 57","Ludwig van Beethoven. Sonata 23 in F minor, Op. 57'",Igor Stravinsky,"Danse infernale de tous les sujets de Kachtcheï, Berceuse, andFinale from The Firebird (transcribed for piano by Guido Agosti)","Igor Stravinsky. Danse infernale de tous les sujets de Kachtcheï, Berceuse, andFinale from The Firebird (transcribed for piano by Guido Agosti)'",Sergei Prokofiev,"Piano Concerto 2 in G minor, Op. 16","Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']",,2015
Marina Yakhlakova,Russia,Johann S. Bach,"Prélude and Fugue in B-flat minor, Well-Tempered Clavier, Book1, BWV 867","Johann S. Bach. Prélude and Fugue in B-flat minor, Well-Tempered Clavier, Book1, BWV 867'",Franz Liszt,"Sonata in B minor, S. 178","Franz Liszt. Sonata in B minor, S. 178",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Marina Yakhlakova,Russia,Ludwig van Beethoven,"Sonata 30 in E major, Op. 109'","Ludwig van Beethoven. Sonata 30 in E major, Op. 109'",Pyotr Tchaikovsky – Mikhail Pletnev,"The Nutcracker, concert suite","Pyotr Tchaikovsky – Mikhail Pletnev. The Nutcracker, concert suite'",Camille Saint-Saëns,"Piano Concerto 2 in G minor, Op. 22","Camille Saint-Saëns. Piano Concerto 2 in G minor, Op. 22']",,2015
Marina Yakhlakova,Russia,Pyotr Tchaikovsky,"Nocturne and Humoresque, Op. 10","Pyotr Tchaikovsky. Nocturne and Humoresque, Op. 10'",Alexander Scriabin,"Sonata 4 in F-sharp major, Op. 30","Alexander Scriabin. Sonata 4 in F-sharp major, Op. 30'",,,,,2015
Marina Yakhlakova,Russia,Franz Liszt,"Mazeppa from Transcendental Études, S. 139,4","Franz Liszt. Mazeppa from Transcendental Études, S. 139,4'",Wolfgang A. Mozart,"Piano Concerto 24 in C minor, K. 491","Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', ",,,,,2015
Marina Yakhlakova,Russia,Frédéric Chopin,"Étude in G-sharp minor, op. 25,6","Frédéric Chopin. Étude in G-sharp minor, op. 25,6'",,,,,,,,2015
Marina Yakhlakova,Russia,Sergei Rachmaninov,"Étude-tableau in D major, Op. 39,9","Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', ",,,,,,,,2015
Miao Huang,Germany,Johann S. Bach,"Prélude and Fugue in G-sharp minor, Well-Tempered Clavier,Book 1, BWV 863, 18","Johann S. Bach. Prélude and Fugue in G-sharp minor, Well-Tempered Clavier,Book 1, BWV 863, 18",Wolfgang A. Mozart,"Sonata 9 in D major, K. 311","Wolfgang A. Mozart. Sonata 9 in D major, K. 311'",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Miao Huang,Germany,Franz Liszt,"Feux follets from Transcendental Études, S. 139,5","Franz Liszt. Feux follets from Transcendental Études, S. 139,5, ",,,,,,,,2015
Miao Huang,Germany,Sergei Rachmaninov,"Étude-tableau in E-flat minor, Op. 39,5","Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5",Wolfgang A. Mozart,"Piano Concerto 9 in E-flat major, K. 271","Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', ",,,,,2015
