Person,Gender,Nationality,Birth Year,Composer,Piece Name,Round,Placement
Vitaly Starikov,Male,Russian,1995,Wolfgang Amadeus Mozart,Concerto n. 23 in A major KV 488,Semifinal,5th
Vitaly Starikov,Male,Russian,1995,Bruno Mantovani,D'un jardin féérique,Final,5th
Vitaly Starikov,Male,Russian,1995,Pyotr Tchaikovsky,Concerto n. 1 in B flat minor op. 23,Final,5th
Su Yeon Kim,Female,Korean,1994,Wolfgang Amadeus Mozart,Allegro (Sonata n. 3 in B flat major KV 281),First Round,
Su Yeon Kim,Female,Korean,1994,Fryderyk Chopin,Etude in G sharp minor op. 25/6,First Round,
Su Yeon Kim,Female,Korean,1994,György Ligeti,"Etude n. 10 ""Der Zauberlehrling""",First Round,
Su Yeon Kim,Female,Korean,1994,Fryderyk Chopin,Ballade n. 4 in F minor op. 52,First Round,
Su Yeon Kim,Female,Korean,1994,Egon Petri,Sheep may safely graze (after Johann Sebastian Bach),Semifinal,
Su Yeon Kim,Female,Korean,1994,Ludwig van Beethoven,Sonata n. 30 in E major op. 109,Semifinal,
Su Yeon Kim,Female,Korean,1994,Maurice Ravel,Scarbo (Gaspard de la nuit),Semifinal,
Su Yeon Kim,Female,Korean,1994,Pierre Jodlowski,Nocturne,Semifinal,
Su Yeon Kim,Female,Korean,1994,Wolfgang Amadeus Mozart,Concerto n. 23 in A major KV 488,Semifinal,
Daumants Liepins,Male,Latvian,1994,Joseph Haydn,Allegro (Sonata in E flat major Hob. XVI:52),First Round,
Daumants Liepins,Male,Latvian,1994,Maurice Ravel,Sonatine,First Round,
Daumants Liepins,Male,Latvian,1994,Fryderyk Chopin,Etude in A minor op. 25/11,First Round,
Daumants Liepins,Male,Latvian,1994,Sergey Rachmaninov,Etude tableau in A minor op. 39/6,First Round,
Daumants Liepins,Male,Latvian,1994,Pierre Jodlowski,Nocturne,Semifinal,
Daumants Liepins,Male,Latvian,1994,Enrique Granados,Los requiebros (Goyescas),Semifinal,
Daumants Liepins,Male,Latvian,1994,Enrique Granados,Quejas,Semifinal,
Daumants Liepins,Male,Latvian,1994,Sergey Rachmaninov,Sonata n. 2 in B flat minor op. 36 (rev. 1931),Semifinal,
Daumants Liepins,Male,Latvian,1994,Wolfgang Amadeus Mozart,Concerto n. 17 in G major KV 453,Semifinal,
Aidan Mikdad,Male,Dutch,2001,Ludwig van Beethoven,Grave (Sonata n. 8 in C minor op. 13),First Round,
Aidan Mikdad,Male,Dutch,2001,Franz Liszt,"Etude d'exécution transcendante n. 5 ""Feux follets""",First Round,
Aidan Mikdad,Male,Dutch,2001,György Ligeti,"Etude n. 5 ""Arc en ciel""",First Round,
Aidan Mikdad,Male,Dutch,2001,Franz Liszt,Erlkönig (after F. Schubert),First Round,
Aidan Mikdad,Male,Dutch,2001,Pierre Jodlowski,Nocturne,Semifinal,
Aidan Mikdad,Male,Dutch,2001,Aleksandr Skryabin,Sonate,Semifinal,
Aidan Mikdad,Male,Dutch,2001,Aleksandr Skryabin,Nocturne for the left hand op. 9/2,Semifinal,
Aidan Mikdad,Male,Dutch,2001,Franz Liszt,Après une lecture du Dante (Années de Pèlerinage),Semifinal,
Aidan Mikdad,Male,Dutch,2001,Wolfgang Amadeus Mozart,Concerto n. 17 in G major KV 453,Semifinal,
Marcel Tadokoro,Male,French,1993,Joseph Haydn,Moderato (Sonata in F major Hob. XVI:23),First Round,
Marcel Tadokoro,Male,French,1993,Karol Szymanowski,Variations in B flat minor op. 3,First Round,
Marcel Tadokoro,Male,French,1993,Franz Liszt,"Etude d'exécution transcendante n. 5 ""Feux follets""",First Round,
Marcel Tadokoro,Male,French,1993,Pierre Jodlowski,Nocturne,Semifinal,
Marcel Tadokoro,Male,French,1993,François Couperin,La Visionnaire (Quatrième livre de pièces de clavecin),Semifinal,
Marcel Tadokoro,Male,French,1993,Ludwig van Beethoven,6 Variations in F major op. 34,Semifinal,
Marcel Tadokoro,Male,French,1993,Igor Stravinsky,Three movements from Petrushka,Semifinal,
Marcel Tadokoro,Male,French,1993,Wolfgang Amadeus Mozart,Concerto n. 17 in G major KV 453,Semifinal,
Yuki Yoshimi,Male,Japanese,2000,Ludwig van Beethoven,Allegro con brio (Sonata n. 3 in C major op. 2/3),First Round,
Yuki Yoshimi,Male,Japanese,2000,Fryderyk Chopin,Etude in A minor op. 10/2,First Round,
Yuki Yoshimi,Male,Japanese,2000,Franz Liszt,"Etude d'exécution transcendante n. 12 ""Chasse""",First Round,
Yuki Yoshimi,Male,Japanese,2000,Sergey Prokofiev,Suggestion diabolique op. 4/4,First Round,
Yuki Yoshimi,Male,Japanese,2000,Fryderyk Chopin,Barcarolle in F sharp major op. 60,Semifinal,
Yuki Yoshimi,Male,Japanese,2000,Maurice Ravel,Noctuelles (Miroirs),Semifinal,
Yuki Yoshimi,Male,Japanese,2000,Pierre Jodlowski,Nocturne,Semifinal,
Yuki Yoshimi,Male,Japanese,2000,Sergey Prokofiev,Sonata n. 7 in B flat major op. 83,Semifinal,
Yuki Yoshimi,Male,Japanese,2000,Wolfgang Amadeus Mozart,Concerto n. 17 in G major KV 453,Semifinal,
Xiaolu Zang,Male,Chinese,1999,Joseph Haydn,Allegro (Sonata in C major Hob. XVI:50),First Round,
Xiaolu Zang,Male,Chinese,1999,Aleksandr Skryabin,Sonata n. 4 in F sharp major op. 30,First Round,
Xiaolu Zang,Male,Chinese,1999,Fryderyk Chopin,Etude in A flat major op. 10/10,First Round,
Xiaolu Zang,Male,Chinese,1999,Sergey Rachmaninov,Etude,First Round,
Xiaolu Zang,Male,Chinese,1999,Pierre Jodlowski,Nocturne,Semifinal,
Xiaolu Zang,Male,Chinese,1999,Ludwig van Beethoven,Sonata n. 28 in A major op. 101,Semifinal,
Xiaolu Zang,Male,Chinese,1999,Maurice Ravel,La valse,Semifinal,
Xiaolu Zang,Male,Chinese,1999,Wolfgang Amadeus Mozart,Concerto n. 23 in A major KV 488,Semifinal,
Maxime Alberti,Male,French,1991,Ludwig van Beethoven,Allegro (Sonata n. 6 in F major op. 10/2),First Round,
Maxime Alberti,Male,French,1991,Karol Szymanowski,Variations in B flat minor op. 3,First Round,
Maxime Alberti,Male,French,1991,Sergey Rachmaninov,Etude,First Round,
Ivan Basic,Male,Serbian,1996,Joseph Haydn,Allegro (Sonata in C major Hob. XVI:50),First Round,
Ivan Basic,Male,Serbian,1996,Franz Liszt,Grande étude de Paganini n. 6,First Round,
Ivan Basic,Male,Serbian,1996,Aleksandr Skryabin,Sonata n. 4 in F sharp major op. 30,First Round,
Nathan Ben-Yehuda,Male,American,1994,Oliver Knussen,Variations op. 24,First Round,
Nathan Ben-Yehuda,Male,American,1994,Ludwig van Beethoven,Allegro molto e con brio (Sonata n. 4 in E flat major op. 7),First Round,
Nathan Ben-Yehuda,Male,American,1994,György Ligeti,"Etude n. 10 ""Der Zauberlehrling""",First Round,
Nathan Ben-Yehuda,Male,American,1994,Béla Bartók,Etude op. 18/3,First Round,
Nicolas Bourdoncle,Male,French,1998,Joseph Haydn,Allegro (Sonata in E flat major Hob. XVI:52),First Round,
Nicolas Bourdoncle,Male,French,1998,Fryderyk Chopin,Etude in C sharp minor op. 10/4,First Round,
Nicolas Bourdoncle,Male,French,1998,Claude Debussy,Etude pour les octaves,First Round,
Nicolas Bourdoncle,Male,French,1998,Franz Liszt,"Etude d'exécution transcendante n. 8 ""Wilde Jagd""",First Round,
Tatiana Dorokhova,Female,Russian,1991,Ludwig van Beethoven,Allegro con brio (Sonata n. 3 in C major op. 2/3),First Round,
Tatiana Dorokhova,Female,Russian,1991,Fryderyk Chopin,Etude in B minor op. 25/10,First Round,
Tatiana Dorokhova,Female,Russian,1991,György Ligeti,"Etude n. 4 ""Fanfares""",First Round,
Tatiana Dorokhova,Female,Russian,1991,Vladimir Horowitz,Variations on a theme from Carmen (after G. Bizet),First Round,
Jean-Peal Gasparian,Male,French,1995,Ludwig van Beethoven,Allegro (Sonata n. 6 in F major op. 10/2),First Round,
Jean-Peal Gasparian,Male,French,1995,Aleksandr Skryabin,Fantaisie in B minor op. 28,First Round,
Jean-Peal Gasparian,Male,French,1995,Fryderyk Chopin,Etude in E flat major op. 10/11,First Round,
Jean-Peal Gasparian,Male,French,1995,Aleksandr Skryabin,Etude op. 65/1,First Round,
Salih Can Gevrek,Male,Turkish,1992,Fryderyk Chopin,Variations brillantes in B flat major op. 12,First Round,
Salih Can Gevrek,Male,Turkish,1992,Ludwig van Beethoven,Allegro vivace (Sonata n. 2 in A major op. 2/2),First Round,
Salih Can Gevrek,Male,Turkish,1992,Franz Liszt,Etude d'exécution transcendante n. 2,First Round,
Salih Can Gevrek,Male,Turkish,1992,Aleksandr Skryabin,Etude op. 65/3,First Round,
Giuseppe Guarrera,Male,Italian,1991,Ludwig van Beethoven,Allegro con brio (Sonata n. 3 in C major op. 2/3),First Round,
Giuseppe Guarrera,Male,Italian,1991,Franz Liszt,Sonetto 104 del Petrarca (Années de Pèlerinage 2e année Italie),First Round,
Giuseppe Guarrera,Male,Italian,1991,Franz Liszt,Grande étude de Paganini n. 3,First Round,
Knut Hanssen,Male,German,1992,Joseph Haydn,Allegro (Sonata in E flat major Hob. XVI:52),First Round,
Knut Hanssen,Male,German,1992,Maurice Ravel,Ondine (Gaspard de la nuit),First Round,
Knut Hanssen,Male,German,1992,Sergey Rachmaninov,Etude tableau in F sharp minor op. 39/3,First Round,
Knut Hanssen,Male,German,1992,Fryderyk Chopin,Etude in B minor op. 25/10,First Round,
Wataru Hisasue,Male,Japanese,1994,Ludwig van Beethoven,Grave (Sonata n. 8 in C minor op. 13),First Round,
Wataru Hisasue,Male,Japanese,1994,Pascal Dusapin,Etude n. 2 « Igra »,First Round,
Wataru Hisasue,Male,Japanese,1994,Franz Liszt,Paraphrase sur un thème de Rigoletto de Verdi,First Round,
Minsoo Hong,Male,Korean,1993,Joseph Haydn,Allegro (Sonata in E flat major Hob. XVI:52),First Round,
Minsoo Hong,Male,Korean,1993,Fryderyk Chopin,Ballade n. 2 in F major op. 38,First Round,
Minsoo Hong,Male,Korean,1993,Sergey Prokofiev,Etude in C minor op. 2/4,First Round,
Minsoo Hong,Male,Korean,1993,Franz Liszt,Grande étude de Paganini n. 3,First Round,
San Jittakarn,Male,Thai,1992,Wolfgang Amadeus Mozart,Allegro (Sonata n. 6 in D major KV 284),First Round,
San Jittakarn,Male,Thai,1992,Franz Liszt,Grande étude de Paganini n. 5,First Round,
San Jittakarn,Male,Thai,1992,Sergey Rachmaninov,Etude tableau in E flat major op. 33/7,First Round,
San Jittakarn,Male,Thai,1992,Sergey Prokofiev,Sonata n. 1 in F minor op. 1,First Round,
Mirabelle Kajenjeri,Female,French,1998,Joseph Haydn,Allegro (Sonata in E flat major Hob. XVI:52),First Round,
Mirabelle Kajenjeri,Female,French,1998,Claude Debussy,Etude pour les arpèges composés,First Round,
Mirabelle Kajenjeri,Female,French,1998,Mily Balakirev,Islamey,First Round,
Eylam Keshet,Male,Israeli,1992,Fryderyk Chopin,Nocturne n. 16 in E flat major op. 55/2,First Round,
Eylam Keshet,Male,Israeli,1992,Joseph Haydn,Moderato (Sonata in G minor Hob. XVI:44),First Round,
Eylam Keshet,Male,Israeli,1992,Fryderyk Chopin,Etude in E minor op. 25/5,First Round,
Eylam Keshet,Male,Israeli,1992,Sergey Rachmaninov,Etude tableau in C minor op. 39/1,First Round,
Maria Khokhlova,Female,Russian,1991,Joseph Haydn,Allegro (Sonata in E flat major Hob. XVI:52),First Round,
Maria Khokhlova,Female,Russian,1991,Fryderyk Chopin,Etude in C major op. 10/1,First Round,
Maria Khokhlova,Female,Russian,1991,Claude Debussy,Etude pour les arpèges composés,First Round,
Maria Khokhlova,Female,Russian,1991,Franz Liszt,Erlkönig (after F. Schubert),First Round,
Honggi Kim,Male,Korean,1991,Joseph Haydn,Allegro (Sonata in E flat major Hob. XVI:52),First Round,
Honggi Kim,Male,Korean,1991,Fryderyk Chopin,Etude in E flat major op. 10/11,First Round,
Honggi Kim,Male,Korean,1991,György Ligeti,"Etude n. 6 ""Automne à Varsovie""",First Round,
Honggi Kim,Male,Korean,1991,Franz Liszt,Hungarian Rhapsody n. 13 in A minor,First Round,
Hyelim Kim,Female,Korean,1996,Sergey Rachmaninov,Etude tableau in A minor op. 39/6,First Round,
Hyelim Kim,Female,Korean,1996,Wolfgang Amadeus Mozart,Allegro maestoso (Sonata n. 8 in A minor KV 310),First Round,
Hyelim Kim,Female,Korean,1996,Maurice Ravel,Alborada del gracioso (Miroirs),First Round,
Hyelim Kim,Female,Korean,1996,Franz Liszt,Etude d'exécution transcendante n. 10,First Round,
Junhyung Kim,Male,Korean,1997,Ludwig van Beethoven,Allegro (Sonata n. 6 in F major op. 10/2),First Round,
Junhyung Kim,Male,Korean,1997,Fryderyk Chopin,Polonaise in A flat major op. 53,First Round,
Junhyung Kim,Male,Korean,1997,Einojuhani Rautavaara,Etude op. 42/4,First Round,
Junhyung Kim,Male,Korean,1997,Franz Liszt,Etude d'exécution transcendante n. 10,First Round,
Seolhwa Kim,Female,Korean,1993,Ludwig van Beethoven,Andante (Sonata n. 13 in E flat major op. 27/1),First Round,
Seolhwa Kim,Female,Korean,1993,Fryderyk Chopin,Scherzo n. 2 in B flat minor op. 31,First Round,
Seolhwa Kim,Female,Korean,1993,Aleksandr Skryabin,Etude in C sharp minor op. 42/5,First Round,
Seolhwa Kim,Female,Korean,1993,Olivier Messiaen,"Etude de rythme n. 1 ""Ile de feu I""",First Round,
Séverine Kim,Female,Korean,1994,Joseph Haydn,Presto (Sonata in E minor Hob. XVI:34),First Round,
Séverine Kim,Female,Korean,1994,Claude Debussy,Etude pour les cinq doigts,First Round,
Séverine Kim,Female,Korean,1994,Fryderyk Chopin,Etude in F major op. 10/8,First Round,
Séverine Kim,Female,Korean,1994,Henri Dutilleux,Choral et variations (Sonata),First Round,
Peter Klimo,Male,American,1990,Joseph Haydn,Allegro moderato (Sonata in A flat major Hob. XVI:46),First Round,
Peter Klimo,Male,American,1990,Franz Liszt,"Etude d'exécution transcendante n. 12 ""Chasse neige""",First Round,
Peter Klimo,Male,American,1990,Béla Bartók,3 Burlesques Sz. 47,First Round,
Kaito Kobayashi,Male,Japanese,1995,Joseph Haydn,Allegro (Sonate in G major Hob. XVI:6),First Round,
Kaito Kobayashi,Male,Japanese,1995,Fryderyk Chopin,Etude in B minor op. 25/10,First Round,
Kaito Kobayashi,Male,Japanese,1995,Sergey Rachmaninov,Etude tableau in E flat minor op. 33/3(6),First Round,
Kaito Kobayashi,Male,Japanese,1995,Aleksandr Skryabin,"Preludes n. 1, 2, 3, 6, 9, 10, 11, 14 (24 Preludes op. 11)",First Round,
Evgeny Konnov,Male,Russian,1992,Olivier Messiaen,Regards des prophètes des bergers et des mages (Vingt regards sur l'Enfant),First Round,
Evgeny Konnov,Male,Russian,1992,Wolfgang Amadeus Mozart,Allegro (Sonata n. 6 in D major KV 284),First Round,
Evgeny Konnov,Male,Russian,1992,Aleksandr Skryabin,Etude op. 65/1,First Round,
Evgeny Konnov,Male,Russian,1992,Franz Liszt,"Etude d'exécution transcendante n. 4 ""Mazeppa""",First Round,
Aaron Kurz,Male,American,1995,Sergey Prokofiev,Allegro moderato (Sonata n. 6 in A major op. 82),First Round,
Aaron Kurz,Male,American,1995,Joseph Haydn,Moderato (Sonata in F major Hob. XVI:23),First Round,
Aaron Kurz,Male,American,1995,Fryderyk Chopin,Etude in C minor op. 10/12,First Round,
Aaron Kurz,Male,American,1995,György Ligeti,"Etude n. 13 ""L'escalier du diable""",First Round,
Rafael Kyrychenko,Male,Portuguese,1996,Ludwig van Beethoven,Grave (Sonata n. 8 in C minor op. 13),First Round,
Rafael Kyrychenko,Male,Portuguese,1996,Sergey Rachmaninov,Etude,First Round,
