"Competi","Country","Age","Stage","Composer","Associated Piece"
"Edna Stern","Belgium","24","Semifinal Recital","Beethoven","Sonata in D Major, Op. 10, No. 3"
"Edna Stern","Belgium","24","Semifinal Recital","Schumann","Fantasia in C Major, Op. 17"
"Edna Stern","Belgium","24","Chamber Music","Schumann","Piano Quintet in E-flat Major, Op. 44"
"Edna Stern","Belgium","24","Final Round","Chopin","Piano Concerto No.2 in F Minor, Op.21"
"Edna Stern","Belgium","24","Final Round","Rachmaninoff","Piano Concerto No.2 in C Minor, Op.18"
"Roger Wright","United States","27","Preliminary Round","Schumann","Blumenstück, Op. 19"
"Roger Wright","United States","27","Preliminary Round","Haydn","Sonata in C Major, Hob. XVI:48"
"Roger Wright","United States","27","Preliminary Round","Frederic Rzewski","Winnsboro Cotton Mill BluesfromNorth American Ballads"
"Roger Wright","United States","27","Preliminary Round","Chopin","Sonata No. 2 in B-flat Minor, Op. 35"
"Roger Wright","United States","27","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Roger Wright","United States","27","Semifinal Recital","Schumann","Kinderszenen, Op. 15"
"Roger Wright","United States","27","Semifinal Recital","Schubert","Sonata in D Major, D.850"
"Roger Wright","United States","27","Chamber Music","Brahms","Piano Quintet in F Minor, Op.34"
"Roger Wright","United States","27","Final Round","Mozart","Piano Concerto No.20 in D Minor, K.466"
"Roger Wright","United States","27","Final Round","Rachmaninoff","Piano Concerto No.3 in D Minor, Op.30"
"Alessandra Ammara","Italy","28","Preliminary Round","Scarlatti","Sonata in D Minor, K.32; Sonata in A Major, K.39; Sonata in E Major, K.20; Sonata in G Major, K.125"
"Alessandra Ammara","Italy","28","Preliminary Round","Scriabin","Sonata No. 5, Op.53"
"Alessandra Ammara","Italy","28","Preliminary Round","Ravel","Gaspard de la nuit"
"Alessandra Ammara","Italy","28","Semifinal Recital","Debussy","Images, Book I"
"Alessandra Ammara","Italy","28","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Alessandra Ammara","Italy","28","Semifinal Recital","Albéniz","El AlbaicínfromIberia"
"Alessandra Ammara","Italy","28","Semifinal Recital","Chopin","Twenty-four Preludes, Op.28"
"Alessandra Ammara","Italy","28","Semifinal Chamber Music","Schumann","Piano Quintet in E-flat Major, Op.44"
"Alessandra Ammara","Italy","28","Final Round","Chopin","Piano Concerto No.2 in F Minor, Op.21"
"Alessandra Ammara","Italy","28","Final Round","Ravel","Piano Concerto in G Major"
"Competit","Country","Age","Stage","Composer","Associated Piece"
"Andrew Armstrong","United States","23","Preliminary Round","Beethoven","Sonata in C Minor, Op. 13 (""Pathétique"")"
"Andrew Armstrong","United States","23","Preliminary Round","Prokofiev","Sonata No. 4 in C Minor, Op. 29"
"Andrew Armstrong","United States","23","Preliminary Round","Chopin","Nocturne in F-sharp Major, Op. 15, No. 2"
"Andrew Armstrong","United States","23","Preliminary Round","Chopin","Variations Brillantes in B-flat Major, Op. 12"
"Andrew Armstrong","United States","23","Preliminary Round","Chopin","Scherzo No. 1 in B Minor, Op. 20"
"Andrew Armstrong","United States","23","Semifinal Round","Dvořák","Piano Quintet in A Major, Op. 81"
"Andrew Armstrong","United States","23","Semifinal Recital","Brahms","Sonata No. 1 in C Major, Op. 1"
"Andrew Armstrong","United States","23","Semifinal Recital","Ravel","Le Tombeau de Couperin"
"Andrew Armstrong","United States","23","Semifinal Recital","Liszt","Liebestraum No. 3 in A-flat Major"
"Andrew Armstrong","United States","23","Semifinal Recital","Liszt","Transcendental Etude No. 10 in F Minor"
"Andrew Armstrong","United States","23","Semifinal Recital","Bolcom","Nine Bagatelles"
"Andrew Armstrong","United States","23","Final Round","Mozart","Piano Concerto No.17 in G Major, K.453"
"Andrew Armstrong","United States","23","Final Round","Rachmaninoff","Piano Concerto No.1 in F-sharp Minor, Op.1"
"Yuri Bogdanov","Russia","25","Preliminary Round","Bach–Busoni","Chaconne in D Minor, from Partita No. 2 for Solo Violin, BWV 1004"
"Yuri Bogdanov","Russia","25","Preliminary Round","Debussy","Images, Book I"
"Yuri Bogdanov","Russia","25","Preliminary Round","Schumann","Carnaval, Op. 9"
"Yuri Bogdanov","Russia","25","Semifinal Round","Franck","Piano Quintet in F Minor"
"Yuri Bogdanov","Russia","25","Semifinal Recital","Schubert","Drei Klavierstücke, D.946"
"Yuri Bogdanov","Russia","25","Semifinal Recital","Gubaidulina","Chaconne"
"Yuri Bogdanov","Russia","25","Semifinal Recital","Bolcom","Nine Bagatelles"
"Yuri Bogdanov","Russia","25","Semifinal Recital","Mussorgsky","Pictures at an Exhibition"
"Yuri Bogdanov","Russia","25","Final Round","Mozart","Piano Concerto No. 23 in A Major, K.488"
"Yuri Bogdanov","Russia","25","Final Round","Liszt","Piano Concerto No.1 in E-flat Major"
"Victor Chestopal","Russia","21","Preliminary Round","Liszt","Transcendental Étude No. 4,Mazeppa"
"Victor Chestopal","Russia","21","Preliminary Round","Debussy","Étude No. 1,Pour les cinq doigts"
"Victor Chestopal","Russia","21","Preliminary Round","Mussorgsky","Pictures at an Exhibition"
"Victor Chestopal","Russia","21","Semifinal Chamber Music","Brahms","Piano Quintet in F Minor, Op. 34"
"Victor Chestopal","Russia","21","Semifinal Recital","Bolcom","Nine Bagatelles"
"Victor Chestopal","Russia","21","Semifinal Recital","Beethoven","Sonata in A-flat Major, Op. 110"
"Victor Chestopal","Russia","21","Semifinal Recital","Liszt","Sonata in B Minor"
"Victor Chestopal","Russia","21","Semifinal Recital","Balakirev","Islamey"
"Victor Chestopal","Russia","21","Final Round","Bach","Piano Concerto in D Minor, BWV 1052"
"Victor Chestopal","Russia","21","Final Round","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, Op.23"
"Naida Cole","Canada","22","Preliminary Round","Corigliano","Etude Fantasy"
"Naida Cole","Canada","22","Preliminary Round","Ravel","Gaspard de la nuit"
"Naida Cole","Canada","22","Preliminary Round","Liszt","Hungarian Rhapsody No. 6"
"Naida Cole","Canada","22","Semifinal Chamber Music","Dvořák","Piano Quintet in A Major, Op. 81"
"Naida Cole","Canada","22","Semifinal Recital","Bolcom","Nine Bagatelles"
"Naida Cole","Canada","22","Semifinal Recital","Schubert","Drei Klavierstücke, D.946"
"Naida Cole","Canada","22","Semifinal Recital","Chopin","Twenty-four Preludes, Op.28"
"Naida Cole","Canada","22","Final Round","Beethoven","Piano Concerto No.4 in G Major, Op.58"
"Naida Cole","Canada","22","Final Round","Rachmaninoff","Piano Concerto No.2 in C Minor, Op.18"
"Michail Dantchenko","Ukraine","19","Preliminary Round","Clementi","Sonata in F-sharp Minor, Op. 26, No. 2"
"Michail Dantchenko","Ukraine","19","Preliminary Round","Brahms","Variations on a Theme by Paganini, Op. 35, Books I and II"
"Michail Dantchenko","Ukraine","19","Preliminary Round","Prokofiev","Sonata No. 7 in B-flat Major, Op. 83"
"Michail Dantchenko","Ukraine","19","Semifinal Chamber Music","Brahms","Piano Quintet in F Minor, Op. 34"
"Michail Dantchenko","Ukraine","19","Semifinal Recital","Schumann","Carnaval, Op. 9"
"Michail Dantchenko","Ukraine","19","Semifinal Recital","Liszt","Spanish Rhapsody"
"Michail Dantchenko","Ukraine","19","Semifinal Recital","Bolcom","Nine Bagatelles"
"Michail Dantchenko","Ukraine","19","Semifinal Recital","Rachmaninoff","Sonata No. 2 in B-flat Minor, Op. 36 (1931)"
"Michail Dantchenko","Ukraine","19","Final Round","Beethoven","Piano Concerto No. 5 in E-flat Major, Op. 73"
"Michail Dantchenko","Ukraine","19","Final Round","Tchaikovsky","Piano Concerto No. 1 in B-flat Minor, Op. 23"
"Alexandre Dossin","Brazil","26","Preliminary Round","Mozart","Sonata in C Major, K.330"
"Alexandre Dossin","Brazil","26","Preliminary Round","Liszt","Sonata in B Minor"
"Alexandre Dossin","Brazil","26","Preliminary Round","Prokofiev","Toccata, Op.11"
"Alexandre Dossin","Brazil","26","Semifinal Chamber Music","Brahms","Piano Quintet in F Minor, Op.34"
"Alexandre Dossin","Brazil","26","Semifinal Recital","Mozart","Variations in D Major on a Minuet by Duport, K.573"
"Alexandre Dossin","Brazil","26","Semifinal Recital","Chopin","Scherzo No.1 in B Minor, Op.20"
"Alexandre Dossin","Brazil","26","Semifinal Recital","Chopin","Scherzo No.2 in B-flat Minor, Op.31"
"Alexandre Dossin","Brazil","26","Semifinal Recital","Brahms","Three Intermezzi, Op.117"
"Alexandre Dossin","Brazil","26","Semifinal Recital","Villa-Lobos","Choros No.5fromAlma Brasileira"
"Alexandre Dossin","Brazil","26","Semifinal Recital","Ginastera","Sonata No.1, Op.22"
"Alexandre Dossin","Brazil","26","Semifinal Recital","Bolcom","Nine Bagatelles"
"Alexandre Dossin","Brazil","26","Final Round","Mozart","Piano Concerto No.23 in A Major, K.488"
"Alexandre Dossin","Brazil","26","Final Round","Rachmaninoff","Rhapsody on a Theme of Paganini, Op.43"
"Filippo Gamba","Italy","28","Preliminary Round","Beethoven","Six Bagatelles, Op. 126"
"Filippo Gamba","Italy","28","Preliminary Round","Schumann","Humoreskein B-flat Major, Op. 20"
"Filippo Gamba","Italy","28","Semifinal Chamber Music","Brahms","Piano Quintet in F Minor, Op. 34"
"Filippo Gamba","Italy","28","Semifinal Recital","Brahms","Fantasies, Op. 116"
"Filippo Gamba","Italy","28","Semifinal Recital","Bolcom","Nine Bagatelles"
"Filippo Gamba","Italy","28","Semifinal Recital","Prokofiev","Sonata No. 8 in B-flat Major, Op. 84"
"Filippo Gamba","Italy","28","Final Round","Mozart","Piano Concerto No. 13 in C Major, K.415"
"Filippo Gamba","Italy","28","Final Round","Brahms","Piano Concerto No. 2 in B-flat Major, Op.83"
"Joel Hastings","Canada","27","Preliminary Round","Bach–Saint-Saëns","Overture to Cantata No. 29"
"Joel Hastings","Canada","27","Preliminary Round","Mendelssohn","Variations Sérieusesin D Minor, Op. 54"
"Joel Hastings","Canada","27","Preliminary Round","Vine","Piano Sonata (1990)"
"Joel Hastings","Canada","27","Preliminary Round","Liszt","Totentanz"
"Joel Hastings","Canada","27","Semifinal Chamber Music","Brahms","Piano Quintet in F Minor, Op. 34"
"Joel Hastings","Canada","27","Semifinal Recital","Bach","Prelude and Fugue in E-flat Major, BWV 852, fromThe Well-Tempered Clavier, Book I"
"Joel Hastings","Canada","27","Semifinal Recital","Beethoven","Sonata in C Major, Op. 2, No. 3"
"Joel Hastings","Canada","27","Semifinal Recital","Bolcom","Nine Bagatelles"
"Joel Hastings","Canada","27","Semifinal Recital","Chopin","Étude in G-sharp Minor, Op. 25, No. 6"
"Joel Hastings","Canada","27","Semifinal Recital","Scriabin","Étude in D-flat Major, Op. 8, No. 10"
"Joel Hastings","Canada","27","Semifinal Recital","Barber","Sonata, Op. 26"
"Joel Hastings","Canada","27","Final Round","Mozart","Piano Concerto No.23 in A Major, K.488"
"Joel Hastings","Canada","27","Final Round","Brahms","Piano Concerto No.2 in B-flat Major, Op.83"
"Stanislav Ioudenitch","Russia","25","Preliminary Round","Liszt","Spanish Rhapsody"
"Stanislav Ioudenitch","Russia","25","Preliminary Round","Mozart","Sonata in D Major, K.284"
"Stanislav Ioudenitch","Russia","25","Preliminary Round","Stravinsky","Trois mouvements de Petrouchka"
"Stanislav Ioudenitch","Russia","25","Semifinal Chamber Music","Dvořák","Piano Quintet in A Major, Op.81"
"Stanislav Ioudenitch","Russia","25","Semifinal Recital","Prokofiev","Sarcasms, Op.17"
"Stanislav Ioudenitch","Russia","25","Semifinal Recital","Bach","Partita No.2 in C Minor"
"Stanislav Ioudenitch","Russia","25","Semifinal Recital","Liszt","Hungarian Rhapsody No.6"
"Stanislav Ioudenitch","Russia","25","Semifinal Recital","Bolcom","Nine Bagatelles"
"Stanislav Ioudenitch","Russia","25","Semifinal Recital","Rachmaninoff","Sonata No.2 in B-flat Minor, Op.36 (1913)"
"Stanislav Ioudenitch","Russia","25","Final Round","Beethoven","Piano Concerto No.2 in B-flat Major, Op.19"
"Stanislav Ioudenitch","Russia","25","Final Round","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, Op.23"
"Jan Gottlieb Jiracek","Germany","24","Preliminary Round","Bach–Busoni","Chaconne in D Minor, from Partita No. 2 for Solo Violin, BWV 1004"
"Jan Gottlieb Jiracek","Germany","24","Preliminary Round","Schubert","Fantasy in C Major, D.760 (""Wanderer"")"
"Jan Gottlieb Jiracek","Germany","24","Preliminary Round","Scriabin","Sonata No. 5, Op. 53"
"Jan Gottlieb Jiracek","Germany","24","Semifinal Chamber Music","Schumann","Piano Quintet in E-flat Major, Op.44"
"Jan Gottlieb Jiracek","Germany","24","Semifinal Recital","Beethoven","Sonata in G Major, Op.31, No.1"
"Jan Gottlieb Jiracek","Germany","24","Semifinal Recital","Brahms","Variations and Fugue on a Theme of Handel, Op.24"
"Jan Gottlieb Jiracek","Germany","24","Semifinal Recital","Bolcom","Nine Bagatelles"
"Jan Gottlieb Jiracek","Germany","24","Final Round","Beethoven","Piano Concerto No.3 in C Minor, Op.37"
"Jan Gottlieb Jiracek","Germany","24","Final Round","Liszt","Piano Concerto No.1 in E-flat Major"
"Yakov Kasman","Russia","30","Preliminary Round","Rachmaninoff","Sonata No. 1 in D Minor, Op. 28"
"Yakov Kasman","Russia","30","Preliminary Round","Medtner","Fairy Tale, Op. 26, No. 3"
"Yakov Kasman","Russia","30","Preliminary Round","Stravinsky","Trois mouvements de Petrouchka"
"Yakov Kasman","Russia","30","Semifinal Chamber Music","Brahms","Piano Quintet in F Minor, Op. 34"
"Yakov Kasman","Russia","30","Semifinal Recital","Schumann","Allegro in B Minor, Op. 8"
"Yakov Kasman","Russia","30","Semifinal Recital","Ravel","La Valse"
"Yakov Kasman","Russia","30","Semifinal Recital","Bolcom","Nine Bagatelles"
"Yakov Kasman","Russia","30","Semifinal Recital","Haydn","Sonata in G Major, Hob. XVI:40"
"Yakov Kasman","Russia","30","Semifinal Recital","Prokofiev","Sonata No. 8 in B-flat Major, Op. 84"
"Yakov Kasman","Russia","30","Final Round","Shostakovich","Piano Concerto No. 1 in C Minor, Op. 35"
"Yakov Kasman","Russia","30","Final Round","Rachmaninoff","Piano Concerto No. 3 in D Minor, Op. 30"
"Yong-Kyu Lee","Korea","24","Preliminary Round","Wagner–Liszt","Isolde’s Liebestod"
"Yong-Kyu Lee","Korea","24","Preliminary Round","Brahms","Variations on a Theme of Paganini, Op. 35, Book I"
"Yong-Kyu Lee","Korea","24","Preliminary Round","Brahms","Intermezzo in A Major, Op. 118, No. 2"
"Yong-Kyu Lee","Korea","24","Preliminary Round","Brahms","Variations on a Theme of Paganini, Op. 35, Book II"
"Yong-Kyu Lee","Korea","24","Preliminary Round","Ravel","La Valse"
"Yong-Kyu Lee","Korea","24","Semifinal Chamber Music","Franck","Piano Quintet in F Minor"
"Yong-Kyu Lee","Korea","24","Semifinal Recital","Bolcom","Nine Bagatelles"
"Yong-Kyu Lee","Korea","24","Semifinal Recital","Scarlatti","Sonata in D Minor, K.213"
"Yong-Kyu Lee","Korea","24","Semifinal Recital","Mozart","Sonata in E Major, K.381"
"Yong-Kyu Lee","Korea","24","Semifinal Recital","Ravel","Gaspard de la nuit"
"Yong-Kyu Lee","Korea","24","Semifinal Recital","Elgar–Lee","Pomp and Circumstance"
"Yong-Kyu Lee","Korea","24","Semifinal Recital","Messiaen","Le baiser de l’enfant JésusfromVingt regards sur l’enfant Jésus"
"Yong-Kyu Lee","Korea","24","Semifinal Recital","Mozart–Liszt","Réminiscences de Don Juan"
"Yong-Kyu Lee","Korea","24","Final Round","Mozart","Piano Concerto No. 24 in C Minor, K.491"
"Yong-Kyu Lee","Korea","24","Final Round","Prokofiev","Piano Concerto No. 2 in G Minor, Op.46"
"Aleksandar Madžar","Yugoslavia","28","Preliminary Round","Bach","Partita No. 4 in D Major, BWV 828"
"Aleksandar Madžar","Yugoslavia","28","Preliminary Round","Ravel","Miroirs"
"Aleksandar Madžar","Yugoslavia","28","Semifinal Chamber Music","Brahms","Piano Quintet in F Minor, Op. 34"
"Aleksandar Madžar","Yugoslavia","28","Semifinal Recital","Schumann","Fantasia in C Major, Op. 17"
"Aleksandar Madžar","Yugoslavia","28","Semifinal Recital","Prokofiev","Visions fugitives, Op. 22"
"Aleksandar Madžar","Yugoslavia","28","Semifinal Recital","Chopin","Andante Spianato and Grande Polonaise Brillantein E-flat Major, Op. 22"
"Aleksandar Madžar","Yugoslavia","28","Semifinal Recital","Bolcom","Nine Bagatelles"
"Aleksandar Madžar","Yugoslavia","28","Final Round","Mozart","Piano Concerto No. 17 in G Major, K.453"
"Aleksandar Madžar","Yugoslavia","28","Final Round","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, Op.23"
"Anton Mordasov","Russia","25","Preliminary Round","Bach–Busoni","Chaconne in D Minor, from Partita No. 2 for Solo Violin, BWV 1004"
"Anton Mordasov","Russia","25","Preliminary Round","Chopin","Polonaise in A-flat Major, Op. 53"
"Anton Mordasov","Russia","25","Preliminary Round","Rachmaninoff","Moment musicalin B Minor, Op. 16, No. 3"
"Anton Mordasov","Russia","25","Preliminary Round","Rachmaninoff","Sonata No. 2 in B-flat Minor, Op. 36 (1931)"
"Anton Mordasov","Russia","25","Semifinal Chamber Music","Brahms","Piano Quintet in F Minor, Op. 34"
"Anton Mordasov","Russia","25","Semifinal Recital","Beethoven","Sonata in C Major, Op. 2, No. 3"
"Anton Mordasov","Russia","25","Semifinal Recital","Brahms","Three Intermezzi, Op. 117"
"Anton Mordasov","Russia","25","Semifinal Recital","Bolcom","Nine Bagatelles"
"Anton Mordasov","Russia","25","Semifinal Recital","Liszt","Funérailles, fromHarmonies poétiques et religieuses"
"Anton Mordasov","Russia","25","Semifinal Recital","Liszt","Hungarian Rhapsody No. 6"
"Anton Mordasov","Russia","25","Final Round","Beethoven","Piano Concerto No.1 in C Major, Op.15"
"Anton Mordasov","Russia","25","Final Round","Prokofiev","Piano Concerto No.3 in C Major, Op.26"
"Susumu Aoyagi","Japan","27","Preliminary Round","Beethoven","Sonata in A Major, Op. 101"
"Susumu Aoyagi","Japan","27","Preliminary Round","Liszt","Hungarian Rhapsody No. 10"
"Susumu Aoyagi","Japan","27","Preliminary Round","Ravel","Gaspard de la nuit"
"Susumu Aoyagi","Japan","27","Semifinal Chamber Music","Schumann","Piano Quintet in E-flat Major, Op. 44"
"Susumu Aoyagi","Japan","27","Semifinal Recital","Shostakovich","Prelude and Fugue in D Minor, Op. 87, No. 24"
"Susumu Aoyagi","Japan","27","Semifinal Recital","Janáček","Sonata 1.X.1905"
"Susumu Aoyagi","Japan","27","Semifinal Recital","Chopin","Sonata No. 3 in B Minor, Op. 58"
"Susumu Aoyagi","Japan","27","Semifinal Recital","Bolcom","Nine Bagatelles"
"Susumu Aoyagi","Japan","27","Semifinal Recital","Ravel","La Valse"
"Susumu Aoyagi","Japan","27","Semifinal Recital","Moszkowski","Étincelles"
"Susumu Aoyagi","Japan","27","Final Round","Schumann","Piano Concerto in A Minor, Op. 54"
"Susumu Aoyagi","Japan","27","Final Round","Rachmaninoff","Rhapsody on a Theme of Paganini, Op. 43"
"Competitor Name","Country","Age","Stage","Composer","Associated Piece"
"Evgeni Bozhanov","Bulgaria","25","Preliminary Recital","Mozart","Sonata in D Major, K. 311"
"Evgeni Bozhanov","Bulgaria","25","Preliminary Recital","Chopin","Rondo à la Mazur in F Major, Op. 5"
"Evgeni Bozhanov","Bulgaria","25","Preliminary Recital","Chopin","Sonata No. 3 in B Minor, Op. 58"
"Evgeni Bozhanov","Bulgaria","25","Semifinal Recital","Beethoven","Sonata in E-flat Major, Op. 31, No. 3"
"Evgeni Bozhanov","Bulgaria","25","Semifinal Recital","Schubert","Sonata in B-flat Major, D. 960"
"Evgeni Bozhanov","Bulgaria","25","Semifinal Recital","Bates","White Lies for Lomax"
"Evgeni Bozhanov","Bulgaria","25","Semifinal Chamber","Franck","Piano Quintet in F Minor"
"Evgeni Bozhanov","Bulgaria","25","Final Recital","Takemitsu","Rain Tree Sketch I"
"Evgeni Bozhanov","Bulgaria","25","Final Recital","Schumann","Davidsbündlertänze, Op.6"
"Evgeni Bozhanov","Bulgaria","25","Final Recital","Gounod–Liszt","Faust Waltz"
"Evgeni Bozhanov","Bulgaria","25","Final Concerti","Chopin","Piano Concerto No.1 in E Minor, Op.11"
"Evgeni Bozhanov","Bulgaria","25","Final Concerti","Rachmaninov","Piano Concerto No.2 in C Minor, Op.18"
"Yue Chu","China","25","Preliminary Recital","Beethoven","32 Variations in C Minor, WoO 80"
"Yue Chu","China","25","Preliminary Recital","Haydn","Sonata in D Major, Hob. XVI:42"
"Yue Chu","China","25","Preliminary Recital","Liszt","Sonata in B Minor"
"Yue Chu","China","25","Semifinal Recital","Ravel","Valses nobles et sentimentales"
"Yue Chu","China","25","Semifinal Recital","Hagen","Suite for Piano"
"Yue Chu","China","25","Semifinal Recital","Rachmaninoff","Moments musicaux, Op. 16"
"Yue Chu","China","25","Semifinal Chamber","Dvořák","Piano Quintet in A Major, Op. 81"
"Yue Chu","China","25","Final Recital","Brahms","Klavierstücke, Op. 118"
"Yue Chu","China","25","Final Recital","Beethoven","Sonata in E Major, Op. 109"
"Yue Chu","China","25","Final Concerti","Beethoven","Piano Concerto No. 4 in G Major, Op. 58"
"Yue Chu","China","25","Final Concerti","Rachmaninoff","Piano Concerto No. 3 in D Minor, Op. 30"
"Ran Dank","Israel","27","Preliminary Recital","Boulez","Douze Notations"
"Ran Dank","Israel","27","Preliminary Recital","Beethoven","Sonata in E-flat Major, Op. 27, No. 1 (""Quasi una Fantasia"")"
"Ran Dank","Israel","27","Preliminary Recital","Scriabin","Sonata No. 9 in F Major, Op. 68 (""Black Mass"")"
"Ran Dank","Israel","27","Preliminary Recital","Liszt","Réminiscences de Norma"
"Ran Dank","Israel","27","Semifinal Recital","Bach","Partita No. 4 in D Major, BWV 828"
"Ran Dank","Israel","27","Semifinal Recital","Bates","White Lies for Lomax"
"Ran Dank","Israel","27","Semifinal Recital","Prokofiev","Sonata No. 6 in A Major, Op. 82"
"Ran Dank","Israel","27","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op. 34"
"Ran Dank","Israel","27","Final Recital","Bartók","Sonata (1926)"
"Ran Dank","Israel","27","Final Recital","Granados","Goyescas: Quejas de la maja y el ruiseñor"
"Ran Dank","Israel","27","Final Recital","Chopin","Sonata No.3 in B Minor, Op.58"
"Ran Dank","Israel","27","Final Recital","Rachmaninoff","Kreisleriana"
"Ran Dank","Israel","27","Final Concerti","Chopin","Piano Concerto No.2 in F Minor, Op.21"
"Ran Dank","Israel","27","Final Concerti","Prokofiev","Piano Concerto No.2 in G Minor, Op.16"
"Alessandro Deljavan","Italy","22","Preliminary Recital","Haydn","Sonata in E-flat Major, Hob. XVI:52"
"Alessandro Deljavan","Italy","22","Preliminary Recital","Liszt","Sonata in B Minor"
"Alessandro Deljavan","Italy","22","Semifinal Recital","Schubert","Sonata in D Major, D. 850"
"Alessandro Deljavan","Italy","22","Semifinal Recital","Bates","White Lies for Lomax"
"Alessandro Deljavan","Italy","22","Semifinal Recital","Scriabin","Sonata No. 5, Op. 53"
"Alessandro Deljavan","Italy","22","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op. 34"
"Alessandro Deljavan","Italy","22","Final Recital","Schumann","Fantasiein C Major, Op. 17"
"Alessandro Deljavan","Italy","22","Final Recital","Debussy","Images, Book I"
"Alessandro Deljavan","Italy","22","Final Concerti","Chopin","Piano Concerto No. 2 in F Minor, Op. 21"
"Alessandro Deljavan","Italy","22","Final Concerti","Prokofiev","Piano Concerto No. 1 in D-flat Major, Op. 10"
"Yoonjung Han","South Korea","24","Preliminary Recital","Haydn","Sonata in E-flat Major, Hob. XVI:52"
"Yoonjung Han","South Korea","24","Preliminary Recital","Chopin","Fantasy in F Minor, Op. 49"
"Yoonjung Han","South Korea","24","Preliminary Recital","Granados","Goyescas: El amor y la muerte"
"Yoonjung Han","South Korea","24","Semifinal Recital","Bach–Busoni","Chaconne in D Minor, BWV 1004"
"Yoonjung Han","South Korea","24","Semifinal Recital","Liszt","Paganini Etude No. 3, ""La Campanella"""
"Yoonjung Han","South Korea","24","Semifinal Recital","Bates","White Lies for Lomax"
"Yoonjung Han","South Korea","24","Semifinal Recital","Chopin","Sonata No. 3 in B Minor, Op. 58"
"Yoonjung Han","South Korea","24","Semifinal Chamber","Schumann","Piano Quintet in E-flat Major, Op. 44"
"Yoonjung Han","South Korea","24","Final Recital","Beethoven","Sonata in A Major, Op. 101"
"Yoonjung Han","South Korea","24","Final Recital","Takemitsu","Rain Tree Sketch I & II"
"Yoonjung Han","South Korea","24","Final Recital","Schumann","Carnaval, Op. 9"
"Yoonjung Han","South Korea","24","Final Concerti","Beethoven","Piano Concerto No. 4 in G Major, Op. 58"
"Yoonjung Han","South Korea","24","Final Concerti","Liszt","Piano Concerto No. 1 in E-flat Major"
"Kyu Yeon Kim","South Korea","23","Preliminary Recital","Haydn","Sonata in C Major, Hob. XVI:48"
"Kyu Yeon Kim","South Korea","23","Preliminary Recital","Schumann","Kreisleriana, Op. 16"
"Kyu Yeon Kim","South Korea","23","Preliminary Recital","Bartók","Three Etudes, Op. 18"
"Kyu Yeon Kim","South Korea","23","Semifinal Recital","Beethoven","Sonata in A Major, Op. 101"
"Kyu Yeon Kim","South Korea","23","Semifinal Recital","Mussorgsky","Pictures at an Exhibition"
"Kyu Yeon Kim","South Korea","23","Semifinal Recital","Hagen","Suite for Piano"
"Kyu Yeon Kim","South Korea","23","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op. 34"
"Kyu Yeon Kim","South Korea","23","Final Recital","Bach","Prelude and Fugue in F Major, BWV 880; Prelude and Fugue in B-flat Minor, BWV 867"
"Kyu Yeon Kim","South Korea","23","Final Recital","Chopin","Twenty-four Preludes, Op. 28"
"Kyu Yeon Kim","South Korea","23","Final Concerti","Beethoven","Piano Concerto No. 4 in G Major, Op. 58"
"Kyu Yeon Kim","South Korea","23","Final Concerti","Prokofiev","Piano Concerto No. 2 in G Minor, Op. 16"
"Naomi Kudo","United States/Japan","22","Preliminary Recital","Vine","Piano Sonata No. 1 (1990)"
"Naomi Kudo","United States/Japan","22","Preliminary Recital","Albéniz","Iberia: Triana"
"Naomi Kudo","United States/Japan","22","Preliminary Recital","Chopin","Sonata No. 3 in B Minor, Op. 58"
"Naomi Kudo","United States/Japan","22","Semifinal Recital","Haydn","Sonata in C Major, Hob. XVI:50"
"Naomi Kudo","United States/Japan","22","Semifinal Recital","Stravinsky","Four Etudes, Op. 7"
"Naomi Kudo","United States/Japan","22","Semifinal Recital","Musto","Improvisation & Fugue"
"Naomi Kudo","United States/Japan","22","Semifinal Recital","Schumann","Carnaval, Op. 9"
"Naomi Kudo","United States/Japan","22","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op. 34"
"Naomi Kudo","United States/Japan","22","Final Recital","Scarlatti","Three Sonatas"
"Naomi Kudo","United States/Japan","22","Final Recital","Debussy","Preludes, Book I:Les Collines d’Anacapri; Preludes, Book II:Minstrels,Bruyères,Feux d’artifice"
"Naomi Kudo","United States/Japan","22","Final Recital","Barber","Sonata for Piano, Op. 26"
"Naomi Kudo","United States/Japan","22","Final Concerti","Mozart","Piano Concerto No. 20 in D Minor, K.466"
"Naomi Kudo","United States/Japan","22","Final Concerti","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, Op.23"
"Natacha Kudritskaya","Ukraine","25","Preliminary Recital","Chopin","Sonata No. 2 in B-flat Minor, Op. 35"
"Natacha Kudritskaya","Ukraine","25","Preliminary Recital","Ravel","Gaspard de la nuit"
"Natacha Kudritskaya","Ukraine","25","Preliminary Recital","Scriabin","Valse, Op. 38"
"Natacha Kudritskaya","Ukraine","25","Semifinal Recital","Rameau","Suite in A Minor"
