numberofnotes,numberofchords,numberofmeasures,meandistancebetweenchords,meantimebetweenchords,key,timechanges,trillslength,avgtempo,32nd_and_shorter,16th,eighth,quarter,dotted quarter,half,dotted half,whole,Title,Duration (seconds)
981,129,298,10.2109375,3.06640625,c minor,2,"[1, 3.0]",0,0,0,55,733,0,1,5,0,"Piano Sonata No. 7 in D Major, Op.10 No.3, 1st Movement (Presto) – Ludwig van Beethoven",397
782,119,232,14.415254237288135,2.8983050847457625,C major,2,"[0, 0]",0,0,1,127,292,25,52,144,0,"Piano Sonata No. 15 in D Major, Op.28 ""Pastoral"", 1st Movement (Allegro) – Ludwig van Beethoven",810
2578,159,382,6.6265822784810124,2.1772151898734178,F major,2,"[2, 3.0]",0,0,2129,213,30,0,18,0,0,"Piano Sonata No. 4 in E-flat Major, Op.7 ""Grand Sonata"", 3rd Movement (Allegro - Trio) – Ludwig van Beethoven",320
981,129,298,10.2109375,3.06640625,c minor,2,"[1, 3.0]",0,0,0,55,733,0,1,5,0,"Piano Sonata No. 6 in F Major, Op.10 No.2, 3rd Movement (Presto) – Ludwig Van Beethoven",195
580,108,186,6.570093457943925,2.411214953271028,D major,2,"[0, 0]",0,6,0,192,159,6,1,61,0,Beethoven - Sonata in F minor Op.2 No.1 Movement I,248
580,108,186,6.570093457943925,2.411214953271028,D major,2,"[0, 0]",0,6,0,192,159,6,1,61,0,Piano Sonata No.3 mv.3 in C Major - L. v. Beethoven,255
518,64,40,14.698412698412698,1.8095238095238095,D major,2,"[0, 0]",0,10,2,244,23,91,0,12,0,"10 Preludes, op. 33, No. 2 – Sergei Bortkiewicz",82
1719,242,234,10.16597510373444,1.4356846473029046,A major,2,"[0, 0]",0,0,18,653,428,16,111,0,0,"Intermezzo in A Major, Op 118, No. 2 – Johannes Brahms",356
1717,264,234,9.627376425855513,1.3155893536121672,A major,2,"[0, 0]",34.833333333333336,0,18,643,407,18,104,0,0,Intermezzo op. 118 nº. 4 Brahms,139
1717,264,234,9.627376425855513,1.3155893536121672,A major,2,"[0, 0]",34.833333333333336,0,18,643,407,18,104,0,0,Brahms- Intermezzo Op. 118 No. 2,348
648,6,56,3,20.7,a minor,2,"[0, 0]",0,0,371,212,1,45,0,7,0,Étude Opus 10 No. 2 in A Minor,83
580,108,186,6.570093457943925,2.411214953271028,D major,2,"[0, 0]",0,6,0,192,159,6,1,61,0,"Chopin - Piano Sonata No. 2 in B Flat Minor, Op. 35, 3rd Movement",570
4617,969,399,9.329545454545455,0.26962809917355374,B- major,3,"[0, 0]",81.27226463104326,2300,944,198,17,0,1,0,0,Transcendental Etude No. 3: Paysage – Franz Liszt,249
527,209,56,14.399038461538462,0.5096153846153847,g minor,6,"[0, 0]",206.74074074074073,0,45,84,0,0,0,4,1,Liszt - Transcendental Etude No. 4 (Mazeppa),376
467,48,80,13.340425531914894,1.627659574468085,G major,2,"[0, 0]",0,0,0,345,30,31,0,0,0,Eine Kleine Gigue - Mozart,90
704,66,178,6.123076923076923,3.1384615384615384,D major,2,"[1, 3.0]",0,2,0,54,217,0,34,56,0,Mozart - Piano Sonata in C minor K 457 No. 14 1st movement,510
408,52,38,14.803921568627452,1.0980392156862746,d minor,2,"[0, 0]",0,0,228,8,64,0,0,0,0,"Variations On A Theme Of Corelli, Op.42, Var. 9 – Sergei Rachmaninoff",50
