numberofnotes,numberofchords,numberofmeasures,avgtempo,32nd_and_shorter,16th,eighth,quarter,dotted quarter,half,dotted half,whole,Competitior Name,Country of Origin,Age,Stage Simple,Composite.2,Ranking,Duration
1116,3,176,24.97142857,24,0,81,8,0,0,0,0,Maxim Philippov,Russia,29,Preliminary,Schumann Fantasiestücke Op.12,2,1456
1752,201,98,138.1378254,14,1014,192,97,87,0,23,0,Maxim Philippov,Russia,29,Semifinal,Rachmaninoff 13 Preludes Op.32,2,135
1465,0,142,120,15,1045,46,0,52,0,1,0,Melnikov Alexey,Russia,,Preliminary,Bach Prelude and Fugue in C-sharp Minor BWV 873,3,106
482,39,58,135,0,288,105,14,10,0,3,0,Melnikov Alexey,Russia,,Semifinal,Scriabin Prelude No.2 in A Minor,3,40
167,15,48,57.10344828,24,18,75,6,18,0,0,0,Moye Chen,China,33,Preliminary,Scarlatti Sonata in G Minor K.8,3,153
6663,1184,1152,0,1252,176,2783,252,119,159,0,0,Moye Chen,China,34,Preliminary,Grieg 'March of the Dwarfs' Op.54 No.3,3,195
4289,887,292,0,825,1428,685,3,3,0,2,0,Nobuyuki Tsujii,Japan,20,Preliminary,Liszt La Campanella,1,250
4251,864,268,0,54,1023,618,185,44,72,1,3,Olga Kern,Russia,26,Semifinal,Schubert Impromptu in F Minor Op.142 No.1,1,511
4251,864,268,0,54,1023,618,185,44,72,1,3,Olga Kern,Russia,26,Semifinal,Schubert Impromptu in B-flat Major Op.142 No.3,1,594
5280,1050,1048,0,30,28,1784,1184,33,163,167,13,Philippe Bianconi,France,25,Preliminary,Chopin Ballade No.1 in G Minor Op.23,2,535
10240,2583,1812,0,738,1703,2585,340,81,7,0,0,Philippe Bianconi,France,25,Preliminary,Liszt Mephisto Waltz No.1,2,579
2554,1058,126,99.62300319,1,918,396,57,2,11,0,2,Sa Chen,China,25,Preliminary,Chopin Etude in G-sharp Minor Op.25 No.6,3,120
242,0,30,110.0769231,1,0,191,39,2,3,6,0,Sa Chen,China,25,Semifinal,Schumann Carnaval Op.9,3,1740
4977,616,410,83.57677165,60,2144,634,394,41,122,1,14,Sa Chen,China,25,Semifinal,Chopin Sonata No.3 in B Minor Op.58,3,719
332,12,52,154,0,0,189,103,1,22,0,1,Sean Chen,United States,24,Preliminary,Bach French Suite No.5 in G Major BWV 816,2,638
7193,1795,1761,83.80725542,107,34,1181,1831,162,319,174,0,Sean Chen,United States,24,Semifinal,Ravel Valses nobles et sentimentales,2,806
3754,1240,296,47.77316736,0,6,288,571,22,76,30,15,Sergei Redkin,Russia,,Semifinal,Schubert-Liszt Erlkönig,3,257
1252,7,274,0,3,760,403,32,11,2,0,0,Stanislav Ioudenitch,Uzbekistan,29,Preliminary,Bach Partita No.2 in C Minor BWV 826,1,1456
719,182,108,0,33,91,310,60,4,2,0,0,Stanislav Ioudenitch,Uzbekistan,29,Semifinal,Schubert Moments Musicaux D.780,1,1555
1474,440,80,59.78888889,28,652,0,46,0,51,0,4,Vadym Kholodenko,Ukraine,26,Preliminary,Bach-Siloti Prelude in B Minor,1,162
10144,2172,1510,207.9788828,24,450,2567,1996,209,307,140,0,Yakov Kasman,Russia,30,Semifinal,Ravel La Valse,2,777
2899,474,116,126,1,1755,316,76,92,0,9,0,Yanfeng Bai,China,23,Semifinal,Scriabin Etude in C-sharp Minor Op.42 No.5,3,164
2182,168,336,0,70,1055,622,169,5,24,0,4,Yunchan Lim,South Korea,18,Preliminary,Mozart Sonata No.9 in D Major K.311,1,252
11556,2130,1209,64.3351225,2195,1284,1790,381,84,139,8,3,Yunchan Lim,South Korea,18,Preliminary,"Chopin Variations on ""La ci darem la mano"" Op.2",1,947
9110,1375,1250,0,1844,2221,1527,344,138,143,2,0,Yunchan Lim,South Korea,18,Quarterfinal,"Beethoven Variations and Fugue in E-flat Major Op.35 (""Eroica"")",1,1242
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
